Area ,Policy ,M Code,LR,,,,,,,,,
Environment ,Plan for strategic public investment in developing the renewable energy sector,416,L,,,,,,,,,
Environment ,including the establishment of a profitable company or companies in public ownership.,413,L,,,,,,,,,
Environment ,Set a target for becoming a net exporter of electricity from renewable sources.,416,L,,,,,,,,,
Environment ,Reform the current exploration licensing and taxation regime and renegotiate oil and gas contracts.,413,L,,,,,,,,,
Environment ,"Establish a State oil, gas and mineral exploration company that would actively participate and invest in exploration",413,L,,,,,,,,,
Environment ,Develop an island-wide animal health strategy.,501,L,,,,,,,,,
Environment ,Sinn Féin is committed to doing all that we can to secure a viable future for coastal communities and economies.,501,L,,,,,,,,,
Environment ,Ireland’s fisheries have been scandalously sacrificed since EU accession in 1973.,501,L,,,,,,,,,
Environment ,protecting the environment,501,L,,,,,,,,,
Environment ,Everyone in Ireland has the right to a clean and safe environment.,501,L,,,,,,,,,
Environment ,Sinn Féin is committed to sustainable development,416,L,,,,,,,,,
Environment ,and robust environmental protection.,501,L,,,,,,,,,
Environment ,This necessarily involves the use of legislation that challenges the attitudes and practices of businesses and consumers alike and promotes behavioural change.,416,L,,,,,,,,,
Environment ,"We fully recognise that global warming is one of the most serious challenges facing us all, demanding urgent action.",501,L,,,,,,,,,
Environment ,"We know there is much that can and must be done at local, regional and national level to reduce greenhouse gas emissions.",501,L,,,,,,,,,
Environment ,Sinn Féin has green credentials that rival any party on the island.,305,N,,,,,,,,,
Environment ,We firmly oppose nuclear energy and have long campaigned against Sellafield.,305,N,,,,,,,,,
Environment ,"We are committed to the promotion of a zero waste strategy that rejects incineration,",406,L,,,,,,,,,
Environment ,keeps landfill to an absolute minimum,501,L,,,,,,,,,
Environment ,"and supports waste reduction, reuse and recycling.",406,L,,,,,,,,,
Environment ,We are committed to vigorously promoting energy efficiency and renewable energy.,406,L,,,,,,,,,
Environment ,"We will continue with this constructive approach in creating an environmentally sound, sustainable future for Ireland.",406,L,,,,,,,,,
Environment ,"Sinn Féin supports strong environmental regulation at all-Ireland, EU and global levels as the only way to protect the right to a clean environment.",416,L,,,,,,,,,
Environment ,We commit ourselves to the principle of sustainable development.,416,L,,,,,,,,,
Environment ,"We will legislate and regulate to proactively safeguard our air, rivers, lakes, wetlands, boglands, remaining forests, coastal zones and oceans.",501,L,,,,,,,,,
Environment ,We will support the sustainable use of renewable natural resources,416,L,,,,,,,,,
Environment ,and the conservation of nonrenewable natural resources through efficient use and careful planning.,416,L,,,,,,,,,
Environment ,We will introduce legislation to minimise the production of waste and work,416,L,,,,,,,,,
Environment ,"towards a zero waste society through a policy centred on reduction, reuse and recycling.",416,L,,,,,,,,,
Environment ,We will continue to oppose incineration.,416,L,,,,,,,,,
Environment ,We support the polluter pays principle and we will apply it in a manner that does not disproportionately penalise small businesses and those on lower incomes.,504,L,,,,,,,,,
Environment ,We will abolish refuse charges as they are an unfair and unjust double tax.,408,N,,,,,,,,,
Environment ,We believe that carbon reduction and not emissions trading should be the basis of government policy on climate change.,416,L,,,,,,,,,
Environment ,"We will introduce a Comprehensive Carbon Reduction Strategy that includes an emphasis on renewable energy production,",416,L,,,,,,,,,
Environment ,"improved energy efficiency and conservation, improved public transport and investment in research and development.",416,L,,,,,,,,,
Environment ,We will continue to oppose nuclear energy as it is not a safe carbon-free source.,416,L,,,,,,,,,
Healthcare ,Begin to reverse privatisation of healthcare by immediately ending tax breaks for private hospitals,413,L,,,,,,,,,
Healthcare ,and the land gift scheme and investing all health funding in the public system.,504,L,,,,,,,,,
Healthcare ,Provide full medical cards for all under the poverty line,504,L,,,,,,,,,
Healthcare ,and all under18s (as a transitional measure towards a fully universal public access service) in the first Sinn Féin Budget.,504,L,,,,,,,,,
Healthcare ,Make all new hospital consultant posts public-only.,504,L,,,,,,,,,
Healthcare ,"Ensure working conditions, promotion prospects and remuneration sufficient to maintain trained staff in the public service,",701,L,,,,,,,,,
Healthcare ,halting the exodus from the public system and from the country.,701,L,,,,,,,,,
Healthcare ,Immediately establish a Healthcare Funding Commission to report within a reasonable time-frame on the projected costs of the transition to an all-Ireland system,601,R,,,,,,,,,
Healthcare ,"of universal healthcare provision (taking into account all spending on health services under the current systems, including state funding and spending on private insurance),",504,L,,,,,,,,,
Healthcare ,and to make recommendations on how the State can best harness our resources in the interests of more equitable and efficient delivery.,504,L,,,,,,,,,
Healthcare ,Hold a referendum to amend the current 1937 Irish Constitution to include the right to healthcare.,201,L,,,,,,,,,
Healthcare ,Develop a network of modern and accessible Primary Care Treatment Centres run by properly-resourced multi-disciplinary and multi-agency Primary Care Teams.,504,L,,,,,,,,,
Healthcare ,Start this process by completing the rollout of the Primary Care Centres promised throughout the State on an accelerated timetable.,504,L,,,,,,,,,
Healthcare ,Appoint salaried GPs to work in the Primary Care Teams,504,L,,,,,,,,,
Healthcare ,and negotiate to phase in salaried contracts for all other GPs.,504,L,,,,,,,,,
Healthcare ,"Make advanced screening services (ie national breast and cervical cancer screening) available locally, promptly and widely",504,L,,,,,,,,,
Healthcare ,– based on risk criteria rather than age alone – to ensure early detection of cancers and other illnesses.,504,L,,,,,,,,,
Healthcare ,"Introduce a timetabled and fully resourced strategy to deliver into the public hospital system the additional 3,000 hospital beds required.",504,L,,,,,,,,,
Healthcare ,"Plan for enhanced provision of essential public nursing home beds,",504,L,,,,,,,,,
Healthcare ,community care facilities,504,L,,,,,,,,,
Healthcare ,"and home care,",504,L,,,,,,,,,
